actual_demand_next_30_days,expected_demand_next_30_days,lead_time_days,month_cos,month_sin,quantity_on_hand,quantity_to_reorder_ratio,reorder_level,stockout_within_lead_time,supplier_on_time_rate,unit_cost,material_category
31.95,33.1,24.0,0.5000000000000001,-0.8660254037844386,34.0,0.5230769230769231,65.0,1,0.755,2.07,dye_chemicals
231.84,200.6,8.0,0.5000000000000001,-0.8660254037844386,96.7,0.5423443634324172,178.3,1,0.708,13.64,trims
159.22,192.9,13.0,-1.0,1.2246467991473532e-16,455.9,1.913134704154427,238.3,0,0.9731,4.4,trims
201.32,172.4,27.0,-0.8660254037844386,-0.5000000000000001,333.0,1.5948275862068966,208.8,0,0.6022,2.07,fabric
148.4,131.6,26.0,0.8660254037844384,-0.5000000000000004,0.0,0.0,116.3,1,0.732,3.55,thread
134.74,135.0,3.0,0.8660254037844384,-0.5000000000000004,256.0,2.83499446290144,90.3,0,0.6289,3.14,dye_chemicals
176.56,145.6,12.0,-0.8660254037844386,-0.5000000000000001,178.3,1.6836638338054768,105.9,0,0.7217,3.25,fabric
133.97,96.6,16.0,0.5000000000000001,0.8660254037844386,255.5,1.5569774527726996,164.1,0,0.7876,19.51,buttons
45.6,50.0,3.0,0.8660254037844387,0.49999999999999994,79.2,1.1803278688524592,67.1,0,0.813,0.77,packaging
73.96,58.6,10.0,6.123233995736766e-17,1.0,14.5,0.084696261682243,171.2,1,0.9492,4.17,zippers
199.15,168.2,25.0,0.5000000000000001,0.8660254037844386,187.0,0.7890295358649789,237.0,0,0.7416,4.16,dye_chemicals
116.82,74.9,16.0,0.8660254037844387,0.49999999999999994,0.0,0.0,46.5,1,0.9216,5.0,packaging
122.62,94.3,13.0,1.0,-2.4492935982947064e-16,184.1,1.301060070671378,141.5,0,0.7661,3.18,thread
50.77,56.2,24.0,6.123233995736766e-17,1.0,183.0,1.0481099656357389,174.6,0,0.6673,3.33,fabric
35.27,36.0,18.0,6.123233995736766e-17,1.0,16.6,0.18004338394793928,92.2,1,0.9153,1.81,zippers
144.53,144.3,10.0,1.0,-2.4492935982947064e-16,175.5,1.449215524360033,121.1,0,0.9001,6.09,trims
94.38,79.2,8.0,-1.0,1.2246467991473532e-16,90.7,0.6058784235136941,149.7,0,0.659,2.22,buttons
133.37,86.6,30.0,-0.5000000000000004,-0.8660254037844384,56.9,0.5718592964824121,99.5,0,0.8748,4.3,fabric
44.56,38.1,24.0,-1.0,1.2246467991473532e-16,196.4,1.6045751633986929,122.4,0,0.6795,5.29,trims
124.38,154.5,33.0,-0.4999999999999998,0.8660254037844387,355.0,1.4070550931430836,252.3,0,0.6536,0.9,dye_chemicals
132.6,105.9,23.0,0.5000000000000001,-0.8660254037844386,0.0,0.0,75.5,1,0.7274,3.24,fabric
79.76,94.4,24.0,6.123233995736766e-17,1.0,239.6,1.9061256961018296,125.7,0,0.8322,1.43,thread
177.56,175.8,12.0,-0.5000000000000004,-0.8660254037844384,208.8,1.502158273381295,139.0,0,0.6268,1.32,fabric
94.42,85.2,10.0,-1.0,1.2246467991473532e-16,100.5,0.464632454923717,216.3,0,0.8928,1.53,packaging
170.31,169.2,24.0,0.5000000000000001,0.8660254037844386,319.6,1.190316573556797,268.5,0,0.8919,2.4,buttons
159.17,197.7,24.0,0.5000000000000001,0.8660254037844386,397.9,1.4819366852886404,268.5,0,0.8919,2.4,buttons
18.02,22.1,3.0,0.8660254037844387,0.49999999999999994,100.4,1.0141414141414142,99.0,0,0.7352,4.79,trims
107.75,80.5,13.0,0.8660254037844384,-0.5000000000000004,128.3,1.1455357142857143,112.0,0,0.7183,8.22,trims
92.43,95.0,19.0,0.5000000000000001,0.8660254037844386,32.9,0.31453154875717015,104.6,1,0.99,5.51,buttons
105.91,95.2,26.0,-0.4999999999999998,0.8660254037844387,111.2,0.5093907466788823,218.3,1,0.99,0.96,thread
142.67,167.5,7.0,0.5000000000000001,-0.8660254037844386,253.4,1.7415807560137457,145.5,0,0.8807,3.27,dye_chemicals
59.76,57.4,19.0,-1.0,1.2246467991473532e-16,537.4,3.231509320505111,166.3,0,0.892,2.44,zippers
54.31,69.0,17.0,0.8660254037844387,0.49999999999999994,161.8,1.2455735180908392,129.9,0,0.8959,4.5,buttons
81.62,91.5,16.0,-1.8369701987210297e-16,-1.0,214.0,2.1903787103377685,97.7,0,0.7588,1.07,trims
124.67,139.8,23.0,0.8660254037844387,0.49999999999999994,314.5,1.5607940446650124,201.5,0,0.702,2.26,dye_chemicals
82.34,100.2,18.0,6.123233995736766e-17,1.0,88.8,0.7468460891505466,118.9,0,0.6927,6.17,dye_chemicals
107.95,175.2,8.0,0.8660254037844387,0.49999999999999994,141.7,0.5702213279678068,248.5,0,0.9475,5.3,zippers
97.08,154.0,3.0,0.5000000000000001,0.8660254037844386,310.4,2.1967445152158525,141.3,0,0.955,4.35,buttons
99.94,77.3,12.0,-1.8369701987210297e-16,-1.0,143.7,0.9170389278876835,156.7,0,0.8208,5.11,trims
194.79,189.1,6.0,-1.8369701987210297e-16,-1.0,322.4,2.297933000712758,140.3,0,0.8457,4.9,trims
71.55,102.0,14.0,0.5000000000000001,0.8660254037844386,261.4,2.113177041228779,123.7,0,0.99,7.51,fabric
46.35,57.9,16.0,-1.0,1.2246467991473532e-16,0.0,0.0,91.4,1,0.9288,1.78,trims
72.2,146.3,13.0,1.0,-2.4492935982947064e-16,177.3,1.1963562753036439,148.2,0,0.9245,1.24,fabric
324.95,208.9,11.0,0.5000000000000001,-0.8660254037844386,447.8,2.216831683168317,202.0,0,0.7244,3.14,packaging
62.04,78.2,26.0,0.8660254037844387,0.49999999999999994,156.5,1.5525793650793651,100.8,0,0.9591,0.96,thread
95.8,118.7,20.0,6.123233995736766e-17,1.0,287.9,1.6137892376681613,178.4,0,0.7657,2.06,dye_chemicals
132.74,129.5,10.0,0.5000000000000001,0.8660254037844386,164.6,0.6721110657411188,244.9,1,0.8607,1.85,packaging
75.88,68.0,8.0,6.123233995736766e-17,1.0,363.1,2.2822124450031427,159.1,0,0.838,2.73,fabric
63.88,47.7,13.0,-0.8660254037844387,0.49999999999999994,323.0,1.827956989247312,176.7,0,0.7759999999999999,3.18,trims
111.66,91.1,21.0,0.5000000000000001,-0.8660254037844386,92.3,0.9332659251769463,98.9,0,0.99,4.6,fabric
151.38,165.0,14.0,0.8660254037844384,-0.5000000000000004,169.1,1.279122541603631,132.2,0,0.852,1.36,packaging
53.23,65.4,9.0,-0.8660254037844386,-0.5000000000000001,96.8,2.7422096317280453,35.3,0,0.932,3.14,trims
157.96,121.6,12.0,1.0,-2.4492935982947064e-16,120.9,1.0413436692506461,116.1,0,0.7321,7.52,fabric
95.87,81.4,12.0,-0.8660254037844387,0.49999999999999994,127.2,0.9151079136690647,139.0,0,0.6268,1.32,fabric
146.24,119.0,9.0,0.8660254037844384,-0.5000000000000004,233.0,1.2347641759406467,188.7,0,0.7128,2.87,fabric
339.6,294.8,3.0,1.0,-2.4492935982947064e-16,228.6,0.7998600419874037,285.8,1,0.99,1.55,buttons
251.92,278.1,11.0,0.8660254037844384,-0.5000000000000004,542.9,2.703685258964143,200.8,0,0.9787,0.6,packaging
171.89,134.9,8.0,-1.8369701987210297e-16,-1.0,461.8,1.8941755537325677,243.8,1,0.7216,0.72,fabric
119.93,138.2,17.0,-1.0,1.2246467991473532e-16,243.6,1.975669099756691,123.3,0,0.7882,3.16,fabric
34.28,32.8,16.0,0.8660254037844387,0.49999999999999994,49.1,1.2493638676844785,39.3,0,0.9362,1.46,thread
198.31,263.0,6.0,0.8660254037844384,-0.5000000000000004,736.9,3.1599485420240137,233.2,0,0.99,3.2,packaging
114.3,88.0,30.0,0.8660254037844384,-0.5000000000000004,308.3,2.6600517687661775,115.9,0,0.9445,4.4,buttons
269.32,203.4,22.0,0.8660254037844384,-0.5000000000000004,180.1,0.7736254295532645,232.8,1,0.99,1.47,zippers
138.86,132.1,21.0,-0.4999999999999998,0.8660254037844387,509.0,3.256557901471529,156.3,0,0.6583,2.6,trims
99.08,136.2,3.0,-1.0,1.2246467991473532e-16,9.4,0.06568832983927324,143.1,1,0.7697,0.99,zippers
208.2,131.5,12.0,-0.8660254037844386,-0.5000000000000001,166.7,0.7682027649769585,217.0,0,0.8893,3.91,buttons
26.23,20.3,26.0,0.8660254037844387,0.49999999999999994,42.4,0.3712784588441331,114.2,0,0.8282,6.54,fabric
39.51,37.6,18.0,-1.8369701987210297e-16,-1.0,121.5,1.8465045592705167,65.8,0,0.7705,1.94,thread
118.51,71.6,33.0,0.8660254037844384,-0.5000000000000004,121.8,0.8559381588193955,142.3,0,0.99,1.93,buttons
266.08,197.6,22.0,0.8660254037844384,-0.5000000000000004,406.5,2.166844349680171,187.6,0,0.8475,0.96,packaging
171.08,142.4,12.0,0.8660254037844384,-0.5000000000000004,102.1,0.7345323741007194,139.0,0,0.627,1.32,fabric
69.16,45.7,26.0,-0.8660254037844387,0.49999999999999994,293.9,1.6698863636363634,176.0,0,0.772,5.22,buttons
170.06,219.5,12.0,0.5000000000000001,-0.8660254037844386,128.4,0.5192074403558431,247.3,1,0.99,4.98,zippers
262.77,201.4,15.0,0.5000000000000001,-0.8660254037844386,636.9,3.350341925302472,190.1,0,0.9047,1.07,dye_chemicals
53.52,63.8,19.0,0.8660254037844387,0.49999999999999994,93.0,1.0532276330690826,88.3,0,0.7108,5.35,packaging
214.29,225.5,8.0,-1.0,1.2246467991473532e-16,469.9,1.794196258113784,261.9,0,0.7904,10.29,thread
152.38,236.8,20.0,0.8660254037844384,-0.5000000000000004,482.5,2.3163706192990876,208.3,0,0.99,1.55,thread
87.62,88.8,11.0,-0.4999999999999998,0.8660254037844387,394.6,2.126077586206897,185.6,0,0.576,2.87,zippers
129.36,151.0,21.0,0.5000000000000001,-0.8660254037844386,111.9,2.4811529933481156,45.1,1,0.81,2.61,buttons
58.93,46.5,38.0,-0.8660254037844387,0.49999999999999994,95.9,1.789179104477612,53.6,0,0.7028,4.62,buttons
221.11,249.6,7.0,-1.8369701987210297e-16,-1.0,245.7,1.4435957696827262,170.2,0,0.8934,4.0,fabric
277.78,244.9,29.0,-1.8369701987210297e-16,-1.0,0.0,0.0,192.7,0,0.9101,13.32,dye_chemicals
130.84,88.2,10.0,-0.5000000000000004,-0.8660254037844384,327.4,2.4505988023952097,133.6,0,0.7872,4.45,packaging
45.6,40.0,21.0,0.8660254037844387,0.49999999999999994,43.4,0.3888888888888889,111.6,0,0.847,1.58,trims
229.4,216.9,27.0,0.8660254037844384,-0.5000000000000004,68.6,0.4663494221617947,147.1,1,0.743,6.02,buttons
36.77,47.4,29.0,-1.0,1.2246467991473532e-16,74.1,1.0206611570247934,72.6,0,0.99,2.81,buttons
66.69,61.3,14.0,0.5000000000000001,0.8660254037844386,180.5,0.94750656167979,190.5,0,0.8473,0.97,trims
138.58,183.4,14.0,-0.5000000000000004,-0.8660254037844384,0.0,0.0,161.6,1,0.7794,2.67,trims
190.18,294.1,3.0,-1.8369701987210297e-16,-1.0,177.8,1.0039525691699607,177.1,0,0.8897,3.87,trims
106.23,162.7,28.0,-0.8660254037844387,0.49999999999999994,63.4,0.42983050847457627,147.5,1,0.6804,7.58,dye_chemicals
149.57,145.2,10.0,0.8660254037844384,-0.5000000000000004,309.0,2.7913279132791327,110.7,0,0.9215,1.62,packaging
114.5,116.8,23.0,-1.0,1.2246467991473532e-16,329.7,1.6289525691699605,202.4,0,0.7209,2.92,dye_chemicals
126.82,176.5,8.0,-0.4999999999999998,0.8660254037844387,129.0,0.6887346502936466,187.3,0,0.9798,1.26,buttons
76.58,106.2,20.0,0.5000000000000001,-0.8660254037844386,133.1,1.2233455882352942,108.8,0,0.9755,15.68,thread
58.61,160.9,19.0,-1.0,1.2246467991473532e-16,36.9,0.1937007874015748,190.5,1,0.8056,3.89,zippers
85.93,87.6,14.0,0.5000000000000001,0.8660254037844386,310.5,1.9764481222151498,157.1,0,0.99,1.32,buttons
135.87144190141524,122.3,8.0,-1.8369701987210297e-16,-1.0,206.59352525239717,1.0502975355993756,196.7,1,0.8024,0.65,thread
61.59,53.0,24.0,6.123233995736766e-17,1.0,0.0,0.0,131.1,1,0.8477,4.01,dye_chemicals
187.12,182.8,22.0,0.5000000000000001,-0.8660254037844386,374.4,1.9239465570400822,194.6,0,0.6718,1.13,dye_chemicals
109.93,121.4,13.0,-0.4999999999999998,0.8660254037844387,461.7,2.413486670151594,191.3,1,0.8488,19.45,trims
149.79,127.6,15.0,0.8660254037844387,0.49999999999999994,0.0,0.0,265.6,1,0.7996,1.1,trims
178.67,141.9,19.0,0.5000000000000001,0.8660254037844386,354.9,2.039655172413793,174.0,0,0.9486,3.13,thread
66.9,47.8,20.0,-0.8660254037844387,0.49999999999999994,123.3,1.7564102564102564,70.2,0,0.7223,1.12,dye_chemicals
42.97,60.0,27.0,-1.0,1.2246467991473532e-16,187.5,0.9488866396761134,197.6,1,0.8558,3.59,thread
212.06,194.8,22.0,-0.5000000000000004,-0.8660254037844384,233.9,0.9274385408406027,252.2,0,0.8117,3.92,dye_chemicals
80.51,89.5,9.0,-0.4999999999999998,0.8660254037844387,356.7,2.4414784394250515,146.1,0,0.8402,7.63,trims
193.94,224.8,12.0,1.0,-2.4492935982947064e-16,451.8,1.5590062111801242,289.8,0,0.8158,0.85,fabric
21.73,18.5,6.0,-0.8660254037844387,0.49999999999999994,211.8,2.282327586206897,92.8,0,0.99,5.36,packaging
85.95,108.7,16.0,0.8660254037844387,0.49999999999999994,230.1,1.3377906976744185,172.0,0,0.99,2.12,packaging
184.11,193.8,16.0,0.8660254037844384,-0.5000000000000004,0.0,0.0,178.3,1,0.7674,1.08,trims
56.51,59.2,24.0,0.8660254037844384,-0.5000000000000004,344.0,2.810457516339869,122.4,1,0.6795,5.29,trims
90.31,82.3,26.0,-0.8660254037844387,0.49999999999999994,194.3,0.7866396761133604,247.0,0,0.874,2.67,buttons
70.5,59.1,3.0,0.5000000000000001,-0.8660254037844386,127.3,0.654835390946502,194.4,0,0.889,1.32,trims
52.18,40.8,21.0,0.8660254037844384,-0.5000000000000004,248.7,2.4239766081871346,102.6,0,0.8283,1.0,trims
115.73,136.4,25.0,-1.0,1.2246467991473532e-16,122.7,0.9438461538461539,130.0,0,0.9008,3.85,zippers
105.065,161.5,11.0,-1.0,1.2246467991473532e-16,152.7,0.8157051282051282,187.2,0,0.851,2.97,packaging
112.51,183.2,15.0,1.0,-2.4492935982947064e-16,532.2,2.289032258064516,232.5,0,0.8802,1.0,fabric
71.31,40.1,14.0,-1.0,1.2246467991473532e-16,203.2,2.1389473684210527,95.0,0,0.99,3.71,thread
159.06,143.5,14.0,1.0,-2.4492935982947064e-16,205.5,1.7534129692832765,117.2,0,0.6762,1.96,buttons
114.21,73.6,30.0,0.5000000000000001,0.8660254037844386,71.6,0.47860962566844917,149.6,1,0.7396,0.66,packaging
103.48,96.4,17.0,0.5000000000000001,0.8660254037844386,125.8,0.8840477863668306,142.3,0,0.9548,5.18,dye_chemicals
81.15,83.5,14.0,-1.0,1.2246467991473532e-16,123.0,0.6294779938587513,195.4,0,0.9069,1.72,zippers
169.14,107.5,16.0,0.8660254037844387,0.49999999999999994,204.7,1.130939226519337,181.0,0,0.805,0.49,fabric
97.57,103.4,30.0,-1.0,1.2246467991473532e-16,0.0,0.0,152.9,1,0.9640000000000001,16.49,thread
107.8,80.0,19.0,-0.8660254037844387,0.49999999999999994,301.1,1.6489594742606792,182.6,0,0.8771,2.61,dye_chemicals
94.12,74.1,10.0,-1.0,1.2246467991473532e-16,256.6,1.8743608473338205,136.9,0,0.8923,7.33,buttons
88.3,104.8,6.0,-0.4999999999999998,0.8660254037844387,158.5,1.601010101010101,99.0,0,0.8054,2.3,thread
59.81,72.0,16.0,-1.8369701987210297e-16,-1.0,160.7,1.4208664898320071,113.1,0,0.74,7.5,fabric
199.53,233.7,15.0,0.8660254037844384,-0.5000000000000004,143.2,0.5949314499376818,240.7,0,0.7337,1.47,zippers
150.65,147.9,26.0,1.0,-2.4492935982947064e-16,39.6,0.29311621021465584,135.1,1,0.928,6.49,packaging
167.81,147.2,23.0,0.8660254037844387,0.49999999999999994,225.6,1.1196029776674938,201.5,0,0.99,2.13,dye_chemicals
29.47,26.9,11.0,-1.0,1.2246467991473532e-16,337.2,2.889460154241645,116.7,0,0.875,3.73,dye_chemicals
179.85,209.8,28.0,0.5000000000000001,-0.8660254037844386,253.1,1.0419925895430218,242.9,1,0.8078,7.2,zippers
171.49561192470915,123.9,25.0,1.0,-2.4492935982947064e-16,385.97919387276033,2.1708616078332974,177.8,0,0.99,9.11,trims
63.42,67.9,12.0,6.123233995736766e-17,1.0,199.2,1.5264367816091953,130.5,0,0.919,3.71,dye_chemicals
323.82,276.0,16.0,-0.5000000000000004,-0.8660254037844384,498.0,1.7178337357709557,289.9,0,0.8759,1.12,buttons
155.41,203.1,25.0,1.0,-2.4492935982947064e-16,432.5,2.451814058956916,176.4,0,0.916,3.44,buttons
101.59,88.7,11.0,-0.5000000000000004,-0.8660254037844384,187.5,1.3557483731019522,138.3,0,0.8251,2.68,thread
56.76,55.5,14.0,1.0,-2.4492935982947064e-16,282.2,2.598526703499079,108.6,0,0.7229,2.35,buttons
113.55,97.1,12.0,0.8660254037844384,-0.5000000000000004,500.7,2.6689765458422174,187.6,0,0.7767,1.95,fabric
30.63,36.9,16.0,6.123233995736766e-17,1.0,35.7,0.31761565836298933,112.4,0,0.986,2.09,buttons
342.74,337.6,16.0,0.8660254037844384,-0.5000000000000004,539.8,1.862021386685064,289.9,0,0.8759,1.12,buttons
113.27,92.3,17.0,-0.4999999999999998,0.8660254037844387,157.2,0.9171528588098016,171.4,0,0.9688,5.17,fabric
107.95,96.7,16.0,0.8660254037844384,-0.5000000000000004,429.9,3.1379562043795617,137.0,0,0.6877,10.37,zippers
88.77,94.9,35.0,6.123233995736766e-17,1.0,252.5,1.6524869109947642,152.8,0,0.876,3.59,fabric
146.79,162.7,25.0,6.123233995736766e-17,1.0,445.5,1.8663594470046083,238.7,0,0.9077,4.3,fabric
97.33,80.5,15.0,-0.8660254037844387,0.49999999999999994,34.3,0.2602427921092564,131.8,1,0.9218,3.87,packaging
128.28,179.0,12.0,-1.0,1.2246467991473532e-16,279.5,2.6392823418319167,105.9,0,0.7217,3.25,fabric
219.05,273.6,12.0,0.5000000000000001,-0.8660254037844386,891.7,4.487669854051334,198.7,0,0.99,0.94,zippers
125.19,121.3,17.0,-0.8660254037844387,0.49999999999999994,350.7,1.3693869582194453,256.1,0,0.8444,1.86,dye_chemicals
124.47,121.4,24.0,-0.5000000000000004,-0.8660254037844384,235.8,1.2211289487312273,193.1,0,0.9189,1.16,packaging
155.59,184.8,19.0,-0.8660254037844386,-0.5000000000000001,216.8,0.9147679324894515,237.0,0,0.7418,4.56,buttons
35.13,53.7,16.0,-0.8660254037844387,0.49999999999999994,183.9,2.012035010940919,91.4,0,0.9288,1.78,trims
37.57,48.9,13.0,0.8660254037844387,0.49999999999999994,73.7,1.354779411764706,54.4,0,0.8135,23.42,packaging
61.14,64.3,23.0,0.5000000000000001,-0.8660254037844386,0.0,0.0,93.1,1,0.9247,0.59,zippers
120.65,107.1,13.0,6.123233995736766e-17,1.0,330.2,1.3804347826086956,239.2,0,0.7165,0.91,fabric
161.76,194.7,26.0,0.8660254037844387,0.49999999999999994,947.6,3.6154139641358256,262.1,1,0.786,10.05,dye_chemicals
25.91,34.2,18.0,-0.8660254037844386,-0.5000000000000001,113.1,1.7188449848024316,65.8,0,0.7705,1.94,thread
152.76,183.0,20.0,0.5000000000000001,-0.8660254037844386,137.8,0.8261390887290168,166.8,1,0.8882,1.41,thread
133.94,136.9,20.0,0.8660254037844387,0.49999999999999994,548.4,2.1556603773584904,254.4,0,0.6920000000000001,1.51,thread
150.56,127.9,22.0,6.123233995736766e-17,1.0,671.5,3.0085125448028673,223.2,0,0.8295,1.05,thread
159.96,161.5,12.0,0.5000000000000001,0.8660254037844386,278.4,1.4011071967790638,198.7,0,0.99,0.94,zippers
213.63,220.3,13.0,-1.8369701987210297e-16,-1.0,266.3,1.4567833698030634,182.8,0,0.7887,4.89,trims
102.5,93.0,5.0,0.8660254037844387,0.49999999999999994,281.5,1.5877044557247602,177.3,0,0.99,3.14,buttons
83.44,96.3,4.0,0.8660254037844387,0.49999999999999994,128.9,0.6960043196544278,185.2,0,0.6355,0.67,zippers
88.05,71.9,26.0,6.123233995736766e-17,1.0,81.3,1.6195219123505975,50.2,1,0.6556,12.26,trims
62.09,55.2,18.0,-0.5000000000000004,-0.8660254037844384,211.5,1.8700265251989392,113.1,0,0.7794,5.35,fabric
135.4,209.9,24.0,0.8660254037844387,0.49999999999999994,252.7,0.9659785932721712,261.6,0,0.8131,2.83,thread
179.13,294.7,24.0,-1.8369701987210297e-16,-1.0,0.0,0.0,220.4,1,0.8998,2.55,zippers
145.75,125.8,13.0,0.5000000000000001,0.8660254037844386,8.1,0.02769230769230769,292.5,1,0.7508,1.57,zippers
109.32,116.7,34.0,-1.0,1.2246467991473532e-16,72.3,0.3378504672897196,214.0,0,0.7181,2.68,buttons
58.68,57.5,23.0,6.123233995736766e-17,1.0,185.75,1.5376655629139073,120.8,0,0.99,2.8,buttons
78.3,94.2,23.0,6.123233995736766e-17,1.0,0.0,0.0,154.5,1,0.7651,0.47,buttons
130.16,126.3,16.0,0.8660254037844387,0.49999999999999994,320.3,1.3635589612601107,234.9,0,0.8404,1.28,trims
190.35,256.5,11.0,-0.5000000000000004,-0.8660254037844384,518.1,2.3036905291240553,224.9,0,0.7767,7.99,dye_chemicals
51.36648638227916,38.9,25.0,0.8660254037844387,0.49999999999999994,209.77400071703636,2.2776764464390484,92.1,0,0.8996,1.5,thread
42.85,63.9,25.0,-1.0,1.2246467991473532e-16,267.3,1.696065989847716,157.6,0,0.8274,5.6,buttons
105.72,113.9,13.0,-0.8660254037844386,-0.5000000000000001,376.7,2.1686816350028786,173.7,0,0.687,1.29,thread
338.41,292.6,7.0,0.8660254037844384,-0.5000000000000004,202.9,0.770311313591496,263.4,0,0.6002,1.04,dye_chemicals
