delay_days,is_anomaly,is_delayed,month_cos,month_sin,order_quantity,quantity,quantity_per_lead_time,requested_lead_time_days,supplier_avg_lead_time_days,supplier_cancellation_rate,supplier_defect_rate,supplier_on_time_rate,supplier_order_volume_last_year
8.42,0,1,-0.4999999999999998,0.8660254037844387,68.1,68.1,2.7239999999999998,25.0,23.5,0.0715,0.074,0.7352,18.0
9.31,0,1,6.123233995736766e-17,1.0,450.1,450.1,18.004,25.0,20.4,0.0851,0.0685,0.8544,5.0
5.54,0,1,-0.8660254037844387,0.49999999999999994,465.1,465.1,29.06875,16.0,11.3,0.0403,0.0303,0.9979,101.0
40.33,1,1,0.8660254037844387,0.49999999999999994,58.4,58.4,7.3,8.0,11.8,0.0117,0.024,0.9349,92.0
2.41,0,1,0.8660254037844387,0.49999999999999994,689.1,689.1,38.28333333333333,18.0,13.3,0.0123,0.0134,0.8678,120.0
8.61,0,1,0.8660254037844387,0.49999999999999994,514.0,514.0,18.357142857142858,28.0,25.1,0.023,0.0516,0.8168,88.0
4.38,0,1,-1.8369701987210297e-16,-1.0,1011.3,1011.3,77.79230769230769,13.0,10.4,0.0,0.0088,0.9516,142.0
8.63,0,1,1.0,-2.4492935982947064e-16,966.3,966.3,64.42,15.0,18.8,0.0252,0.0207,0.9369,130.0
0.0,0,0,0.5000000000000001,0.8660254037844386,443.0,443.0,27.6875,16.0,10.6,0.0283,0.0,0.9653,15.0
3.2,0,1,6.123233995736766e-17,1.0,902.0,902.0,42.95238095238095,21.0,18.6,0.0299,0.0359,0.8218,107.0
11.59,0,1,6.123233995736766e-17,1.0,851.1,851.1,85.11,10.0,14.2,0.0637,0.0831,0.7142,106.0
4.6,0,1,6.123233995736766e-17,1.0,805.8,805.8,80.58,10.0,9.3,0.0374,0.0286,0.9501,118.0
2.09,0,1,-0.4999999999999998,0.8660254037844387,674.1,674.1,44.940000000000005,15.0,15.0,0.0265,0.0499,0.9145,99.0
2.38,0,1,-0.8660254037844386,-0.5000000000000001,762.2,762.2,38.11,20.0,17.6,0.0554,0.065,0.858,137.0
10.54,0,1,0.8660254037844387,0.49999999999999994,779.2,779.2,37.10476190476191,21.0,19.1,0.0255,0.0239,0.8793,85.0
7.27,0,1,0.8660254037844384,-0.5000000000000004,670.5,670.5,55.875,12.0,17.6,0.0,0.0268,0.907,137.0
2.0,0,1,0.5000000000000001,0.8660254037844386,618.0,618.0,26.869565217391305,23.0,19.7,0.0462,0.065,0.8658,93.0
12.53,0,1,1.0,-2.4492935982947064e-16,753.6,753.6,68.50909090909092,11.0,9.2,0.032,0.0533,0.9528,125.0
34.49,1,1,1.0,-2.4492935982947064e-16,224.8,224.8,8.646153846153847,26.0,25.3,0.0398,0.0548,0.8946,95.0
3.11,0,1,-0.4999999999999998,0.8660254037844387,898.4,898.4,112.3,8.0,11.8,0.0096,0.0407,0.9239,148.0
2.54,0,1,-0.4999999999999998,0.8660254037844387,495.1,495.1,49.510000000000005,10.0,16.2,0.0311,0.0205,0.8957,70.0
0.0,0,0,-0.4999999999999998,0.8660254037844387,146.2,146.2,12.183333333333332,12.0,10.5,0.0292,0.0201,0.9486,122.0
27.15,1,1,6.123233995736766e-17,1.0,118.8,118.8,6.6,18.0,22.1,0.0404,0.0732,0.8016,21.0
0.33,0,0,-0.4999999999999998,0.8660254037844387,821.9,821.9,35.73478260869565,23.0,20.8,0.0419,0.0374,0.8839,141.0
3.35,0,1,0.5000000000000001,0.8660254037844386,374.7,374.7,15.612499999999999,24.0,23.4,0.0332,0.0527,0.8220000000000001,143.0
2.29,0,1,-0.4999999999999998,0.8660254037844387,1022.6,1022.6,92.96363636363637,11.0,12.1,0.0145,0.0274,0.999,165.0
6.61,0,1,-0.8660254037844386,-0.5000000000000001,1203.3,1203.3,40.11,30.0,31.2,0.0645,0.0519,0.7759,62.0
11.52,0,1,-0.5000000000000004,-0.8660254037844384,875.2,875.2,97.24444444444445,9.0,9.6,0.014,0.028,0.8631,52.0
11.29,0,1,1.0,-2.4492935982947064e-16,804.1,804.1,36.550000000000004,22.0,21.2,0.0837,0.0801,0.7759,146.0
15.08,0,1,-1.8369701987210297e-16,-1.0,796.2,796.2,29.48888888888889,27.0,24.1,0.0593,0.0719,0.8023,99.0
10.9,0,1,0.5000000000000001,-0.8660254037844386,1167.6,1167.6,166.79999999999998,7.0,14.8,0.0,0.0422,0.9316,100.0
6.59,0,1,-0.5000000000000004,-0.8660254037844384,825.4,825.4,91.71111111111111,9.0,10.0,0.0044,0.022,0.9564,142.0
7.64,0,1,-0.8660254037844387,0.49999999999999994,906.7,906.7,36.268,25.0,22.4,0.0201,0.0594,0.9031,120.0
2.52,0,1,-1.8369701987210297e-16,-1.0,713.3,713.3,59.44166666666666,12.0,14.5,0.0265,0.0405,0.9701,107.0
7.92,0,1,-0.8660254037844387,0.49999999999999994,759.6,759.6,42.2,18.0,18.8,0.0556,0.0778,0.7641,78.0
1.48,0,0,-0.4999999999999998,0.8660254037844387,759.8,759.8,34.53636363636363,22.0,18.5,0.0102,0.0155,0.9990000000000001,95.0
4.81,0,1,-0.8660254037844387,0.49999999999999994,224.6,224.6,9.358333333333333,24.0,23.6,0.0464,0.0546,0.856,65.0
10.0,0,1,-0.4999999999999998,0.8660254037844387,1272.0,1272.0,84.8,15.0,16.8,0.037,0.0277,0.8465,64.0
11.85,0,1,0.8660254037844384,-0.5000000000000004,656.1,656.1,109.35000000000001,6.0,10.0,0.0171,0.0118,0.915,81.0
12.55,0,1,-1.8369701987210297e-16,-1.0,1280.0,1280.0,98.46153846153847,13.0,16.2,0.039,0.038,0.83,144.0
3.11,0,1,0.5000000000000001,0.8660254037844386,190.7,190.7,63.56666666666666,3.0,5.6,0.0605,0.0602,0.7526,33.0
12.46,0,1,-0.8660254037844386,-0.5000000000000001,1046.0,1046.0,55.05263157894737,19.0,25.2,0.0464,0.0512,0.8439,109.0
7.27,0,1,0.8660254037844384,-0.5000000000000004,886.9,886.9,68.22307692307692,13.0,10.3,0.0296,0.0392,0.9503,129.0
14.8,0,1,-0.4999999999999998,0.8660254037844387,707.1,707.1,23.57,30.0,24.1,0.0561,0.083,0.6554,54.0
13.45,0,1,0.8660254037844387,0.49999999999999994,731.5,731.5,38.5,19.0,21.8,0.0271,0.0623,0.7565,56.0
6.575134361729442,0,1,-0.5000000000000004,-0.8660254037844384,965.4,965.4,37.13076923076923,26.0,18.0,0.0482,0.0323,0.897,91.0
