supplier_code,supplier_name,country,category,on_time_delivery_rate,defect_rate,cancellation_rate,avg_lead_time_days,order_volume_last_year,is_high_risk
SUP-00565,Li PLC,Pakistan,thread,0.7949,0.0581,0.067,28.1,50.0,1
SUP-00938,"Rios, Walker and Wright",Bangladesh,packaging,0.9565,0.0079,0.0284,13.3,71.0,0
SUP-00660,Chambers-Parker,China,fabric,0.8751,0.062,0.0501,22.6,100.0,1
SUP-00737,"Frey, Santos and Johnson",Pakistan,zippers,0.8962,0.0136,0.0272,11.9,93.0,0
SUP-00957,Haynes-Watson,Pakistan,fabric,0.7723,0.0422,0.0294,28.1,77.0,1
SUP-00750,"Allen, Davenport and Price",Indonesia,trims,0.8115,0.0554,0.0649,22.4,75.0,1
SUP-00631,Small-Anderson,Indonesia,zippers,0.848,0.0356,0.0298,11.0,117.0,0
SUP-00299,"Sparks, Jackson and Miller",India,thread,0.7667,0.0216,0.0222,17.4,86.0,0
SUP-00897,Miller Inc,Vietnam,fabric,0.9811,0.0,0.0192,20.3,81.0,0
SUP-00915,"Wang, Henderson and Morales",China,packaging,0.9329,0.0253,0.0203,12.3,94.0,0
SUP-00105,Nolan-Flynn,Pakistan,trims,0.8759,0.0493,0.0606,23.6,104.0,1
SUP-00625,Butler and Sons,China,trims,0.9058,0.041,0.0037,13.3,156.0,0
SUP-00387,"Morales, Thomas and Schultz",Vietnam,dye_chemicals,0.938,0.0253,0.0264,15.7,153.0,0
SUP-00736,Sutton-Abbott,Sri Lanka,thread,0.816,0.0435,0.0257,24.6,114.0,1
SUP-00814,"Thompson, Moore and Castro",Bangladesh,fabric,0.8590000000000001,0.0,0.018,22.8,136.0,0
SUP-00807,Guerra Ltd,Pakistan,trims,0.8185,0.0395,0.0533,21.6,86.0,0
SUP-00898,Goodwin PLC,China,dye_chemicals,0.8612,0.0158,0.0469,10.4,99.0,0
SUP-00878,Khan LLC,China,fabric,0.9263,0.0301,0.024,19.9,126.0,0
SUP-00889,"Anderson, Jones and Reyes",Vietnam,buttons,0.999,0.0366,0.0108,12.9,40.0,0
SUP-00552,"Fowler, Jimenez and Burton",Vietnam,dye_chemicals,0.8839,0.0272,0.036,17.0,97.0,0
SUP-00817,Foster-Mclaughlin,Sri Lanka,zippers,0.9669,0.024,1.0,17.3,163.0,0
SUP-00276,"Burns, Hernandez and Ryan",Bangladesh,packaging,0.9141,0.0259,0.0356,19.1,111.0,0
SUP-00799,"Terrell, Byrd and Ross",Indonesia,thread,0.9186,0.0212,0.0238,14.1,62.0,0
SUP-00122,Johnson-Carlson,Pakistan,buttons,0.9419,0.0301,0.02,9.4,164.0,0
SUP-00320,"Shaw, Nelson and Martin",Vietnam,dye_chemicals,0.9386,0.0368,0.0333,17.9,111.0,0
SUP-00773,Thomas-Jackson,India,thread,0.9103,0.0512,0.0345,17.5,88.0,0
SUP-00551,"Baker, Clark and Armstrong",China,trims,0.9620000000000001,0.043,0.0067,20.4,64.0,0
SUP-00187,Sanders-Espinoza,Pakistan,dye_chemicals,0.7190000000000001,0.03605,0.0471,27.5,64.0,1
SUP-00235,Ortiz Ltd,Pakistan,trims,0.9094,0.0304,0.0328,16.5,114.0,0
SUP-00095,Campbell-Clark,Pakistan,trims,0.9512,0.0735,0.0451,26.6,75.0,1
SUP-00343,Lopez-Martinez,China,buttons,0.79,0.0312,0.0436,22.6,148.0,1
SUP-00147,Robinson-Brock,India,zippers,0.9125,0.0292,0.0,16.7,81.0,0
SUP-00529,"Daniels, Vance and York",Indonesia,thread,0.9751,0.006,0.0115,13.4,227.0,0
SUP-00775,Ward and Sons,Bangladesh,zippers,0.8879,0.0578,0.0163,15.5,161.0,1
SUP-00332,"Turner, Ortiz and Taylor",Bangladesh,zippers,0.9091,0.0378,0.0677,20.3,152.0,1
SUP-00728,"Arnold, Smith and Moreno",China,dye_chemicals,0.905,0.0103,0.0342,20.7,50.0,1
SUP-00057,"Washington, Ryan and Cummings",China,trims,0.9178,0.0239,0.0,10.5,119.0,0
SUP-00224,Wilson-Jones,Bangladesh,packaging,0.7935,0.0623,0.0284,25.5,105.0,1
SUP-00746,White LLC,Pakistan,thread,0.9414,0.0552641865207494,0.0312858400615378,18.1,70.0,0
SUP-00440,King-York,Indonesia,thread,0.8174,0.0322,0.0608,24.0,119.0,1
SUP-00295,"Brennan, Wallace and Benson",China,dye_chemicals,0.8891,0.021,0.0114,13.9,75.0,0
SUP-00795,"Barnes, Johnson and Schmitt",Sri Lanka,packaging,0.8932,0.0588,0.0396,24.9,135.0,1
SUP-00518,"Hernandez, Cole and Watson",Pakistan,zippers,0.8059999999999999,0.0339,0.03715,18.1,119.0,1
SUP-00186,Johnston-Odonnell,Bangladesh,zippers,0.8761,0.0455,0.0469,17.5,35.0,1
SUP-00013,Arnold Ltd,Vietnam,buttons,0.8191,0.0229,0.0423,16.5,110.0,1
SUP-00961,Green-Edwards,Pakistan,buttons,0.8734500000000001,0.026,0.0127,11.6,137.0,0
SUP-00891,Taylor-Ayala,Pakistan,packaging,0.818,0.0649,0.0172,21.1,80.0,1
SUP-00199,Ramirez Group,Sri Lanka,packaging,0.8919,0.0519,0.0284,16.6,114.0,0
SUP-00158,"Miller, Hernandez and Reyes",Bangladesh,thread,0.77,0.0885,0.0655,25.1,94.0,1
SUP-00241,Jones and Sons,Sri Lanka,fabric,0.7726,0.0381,0.0453,16.2,106.0,1
SUP-00939,"Flores, Mckenzie and Duncan",Vietnam,thread,0.856,0.0745,0.0601,15.6,174.0,1
