Unnamed: 0,material_code,material_category,unit_cost,lead_time_days,reorder_level,supplier_on_time_rate,as_of_date,quantity_on_hand,forecast_demand_next_30_days,actual_demand_next_30_days,stockout_within_lead_time,notes
24335,MAT-01259,dye_chemicals,2.07,24,65.0,0.755,2024-10-25,34.0,33.1,31.95,1,
4936,MAT-00602,trims,13.64,8,178.3,0.708,2023-10-23,96.7,200.6,231.84,1,n/a
5906,MAT-00637,trims,4.4,13,238.3,0.9731,01/06/2023,455.9,192.9,159.22,0,
25968,MAT-01912,fabric,2.07,27,208.8,0.6022,2024-07-10,333.0,172.4,201.32,0,
9613,MAT-00126,thread,3.55,26,116.3,73.2%,09-Nov-2024,0.0,131.6,148.4,1,
6242,MAT-01482,dye_chemicals,3.14,3,90.3,0.6289,06-Nov-2023,256.0,135.0,134.74,0,
3294,MAT-01142,febric,3.25,12,105.9,0.7217,2024-07-24,178.3,145.6,176.56,0,
6439,MAT-02089,buttons,19.51,16,164.1,0.7876,25-Feb-2025,255.5,96.6,133.97,0,urgent
42683,MAT-00129, packaging,$0.77,3,67.1,81.3%,18/01/2023,79.2,50.0,45.6,0,
41800,MAT-00110,zippers,4.17,10,171.2,0.9492,23-Mar-2024,14.5,58.6,73.96,1,
13386,MAT-02972,dye_chemicals,4.16,25,237.0,0.7416,07-Feb-2025,187.0,168.2,199.15,0,
14079,MAT-01997,packaging,$5.00,16,46.5,0.9216,03-Jan-2025,0.0,74.9,116.82,1,
6056,MAT-01916,thred,3.18,13,141.5,0.7661,2023/12/18,184.1,94.3,122.62,0,
24145,MAT-02252,fabric,3.33,24,174.6,0.6673,03-26-2023,,56.2,50.77,0,
33476,MAT-02155,zippers,1.81,18,92.2,0.9153,03-21-2024,16.6,36.0,35.27,1,
19672,MAT-00236,trims,6.09,10,121.1,0.9001,2024/12/14,175.5,144.3,144.53,0,
38595,MAT-00214,BUTTONS,$2.22,8,149.7,0.659,13/06/2023,90.7,79.2,94.38,0,
9344,MAT-00835,fabric,4.3,30,99.5,0.8748,06-Aug-2024,56.9,86.6,133.37,0,
8098,MAT-01857,TRIMS,5.29,24,122.4,0.6795,05-Jun-2025,196.4,38.1,44.56,0,
