Unnamed: 0,supplier_name,supplier_country,supplier_category,supplier_on_time_delivery_rate,supplier_defect_rate,supplier_cancellation_rate,supplier_avg_lead_time_days,supplier_order_volume_last_year,order_date,expected_delivery_date,quantity,delay_days,is_delayed,is_anomaly,notes
23902,Peterson-Bell,Vietnam,zippers,0.7352,0.074,0.0715,23.5,18,03-31-2024,2024-04-25,68.1,8.42,1,0,
40796,Mueller LLC,India,febric,0.8544,0.0685,,20.4,5,2024/02/22,2024-03-18,450.1,9.31,1,0,
47979,Olson Group,Bangla Desh,zippers,0.9979,0.0303,0.0403,11.3,101,18-Apr-2025,05-04-2025,465.1,5.54,1,0,
59082,"Knight, York and Shelton",India,DYE-CHEMICALS,0.9349,0.024,0.0117,11.8,92,2023-01-23,2023-01-31,58.4,40.33,1,1,
27303,Baldwin-Cameron,P.R. China,thread,0.8678,0.0134,0.0123,13.3,120,09-Jan-2024,01-27-2024,689.1,2.41,1,0,
9041,"Robinson, Escobar and Davies",India,fabric,0.8168,0.0516,0.023,25.1,88,2024/01/03,31-Jan-2024,514,8.61,1,0,
21727,Taylor and Sons,Vietnam,packaging,0.9516,,0.0,10.4,142,09/09/2023,22/09/2023,1011.3,4.38,1,0,
3488,Harris-Smith,china,packaging,0.9369,0.0207,0.0252,18.8,130,12-05-2024,2024-12-20,966.3,8.63,1,0,
47965,Shaffer Group,Indonesia,fabric,0.9653,0.0,0.0283,10.6,15,2023/02/03,2023/02/19,443.0,0.0,0,0,
1075,Conner-Mcguire,Pakistan,thread,0.8218,0.0359,0.0299,18.6,107,2025/03/10,31/03/2025,902,3.2,1,0,
4716,"Burton, Gross and Burnett",Sri Lanka,dye_chemicals,0.7142,0.0831,0.0637,14.2,106,03-10-2023,03-20-2023,851.1,11.59,1,0,
29799,Peters Group,Sri Lanka,thread,0.9501,0.0286,0.0374,9.3,118,19/03/2024,29/03/2024,805.8,4.6,1,0,n/a
58644,"Powell, Fisher and Kelly",Sri Lanka,thread,0.9145,0.0499,0.0265,15.0,99,09/04/2023,24-Apr-2023,674.1,2.09,1,0,
47830,Guzman-Kemp,Indonesia,thread,0.858,0.065,0.0554,17.6,137,06-18-2023,08/07/2023,762.2,2.38,1,0,
49059,"Jimenez, Meyer and Frost",India,packaging,0.8793,0.0239,0.0255,19.1,85,05-Jan-2023,2023/01/26,779.2,10.54,1,0,
36148,"Orr, Davis and Gonzalez",India,buttons,0.907,0.0268,,17.6,137,2024-10-25,11-06-2024,670.5,,1,0,
