Unnamed: 0,supplier_code,supplier_name,country,category,on_time_delivery_rate,defect_rate,cancellation_rate,avg_lead_time_days,order_volume_last_year,is_high_risk,notes
564,SUP-00565,Li PLC,pakistan,thread,0.7949,0.0581,0.067,28.1,50.0,1,
937,SUP-00938,"Rios, Walker and Wright",Bangladesh,packaging,0.9565,0.0079,,13.3,71.0,0,
659,SUP-00660,Chambers-Parker,China,fabric,,0.062,0.0501,22.6,,1,
736,SUP-00737,"Frey, Santos and Johnson",Pakistan,zippers,0.8962,0.0136,0.0272,11.9,93.0,0,
956,SUP-00957,Haynes-Watson,pakistan,fabric,0.7723,0.0422,0.0294,28.1,77.0,1,customer requested rush
749,SUP-00750,"Allen, Davenport and Price",Indonesia,trims,0.8115,0.0554,0.0649,22.4,75.0,1,
630,SUP-00631,Small-Anderson,INDONESIA,zippers,0.848,0.0356,0.0298,  11.0  ,117.0,0,
298,SUP-00299,"Sparks, Jackson and Miller",India,THREAD,0.7667,0.0216,0.0222,17.4,86.0,0,
896,SUP-00897,Miller Inc,vietnam,fabric,0.9811,0.0,0.0192,20.3,81.0,0,TBC
914,SUP-00915,"Wang, Henderson and Morales",China, packaging,0.9329,0.0253,0.0203,12.3,94.0,0,
104,SUP-00105,Nolan-Flynn,Pakistan,trims,,0.0493,0.0606,23.6,104.0,1,
624,SUP-00625,Butler and Sons,China,trims,0.9058,0.041,0.0037,13.3,156.0,0,phone confirmed
386,SUP-00387,"Morales, Thomas and Schultz",Vietnam,dye_chemicals,93.8%,0.0253,0.0264,15.7,153.0,0,TBC
735,SUP-00736,Sutton-Abbott,Sri Lanka,thread,81.6%,0.0435,0.0257,24.6,114.0,1,
813,SUP-00814,"Thompson, Moore and Castro",BANGLADESH,fabric,85.9%,0.0,0.018,22.8,136.0,0,
806,SUP-00807,Guerra Ltd,Pakistan,trims,0.8185,0.0395,0.0533,21.6,86.0,0,
897,SUP-00898,Goodwin PLC,CHINA,Dye Chemicals,0.8612,0.0158,0.0469,10.4,99.0,0,
877,SUP-00878,Khan LLC,P.R. China,fabric,0.9263,0.0301,0.024,  19.9  ,126.0,0,
888,SUP-00889,"Anderson, Jones and Reyes",Vietnam,Buttons,0.999,0.0366,0.0108,12.9,40.0,0,
551,SUP-00552,"Fowler, Jimenez and Burton",VIETNAM,dye_chemicals,0.8839,0.0272,,,97.0,0,
816,SUP-00817,Foster-Mclaughlin,Sri Lanka,zippers,0.9669,0.024,35.3,17.3,163.0,0,
275,SUP-00276,"Burns, Hernandez and Ryan",Bangladesh,packaging,0.9141,0.0259,0.0356,19.1,111.0,0,
798,SUP-00799,"Terrell, Byrd and Ross",Indonesia,thread,0.9186,0.0212,0.0238,14.1,62.0,0,
121,SUP-00122,Johnson-Carlson,Pakistan, buttons,0.9419,0.0301,0.02,9.4,164.0,0,
319,SUP-00320,"Shaw, Nelson and Martin",Vietnam,dye_chemicals,0.9386,0.0368,0.0333,  17.9  ,111.0,0,
772,SUP-00773,Thomas-Jackson,India,thred,0.9103,0.0512,0.0345,17.5,88.0,0,phone confirmed
550,SUP-00551,"Baker, Clark and Armstrong",China,trims,96.2%,0.043,0.0067,20.4,64.0,0,
186,SUP-00187,Sanders-Espinoza,Pakistan,dye_chemicals,71.9%,,0.0471,27.5,64.0,1,
234,SUP-00235,Ortiz Ltd,Pakistan,trims,0.9094,0.0304,0.0328,16.5,114.0,0,
94,SUP-00095,Campbell-Clark,PK,trims,0.9512,0.0735,0.0451,  26.6  ,75.0,1,
342,SUP-00343,Lopez-Martinez,China,buttons,79.0%,0.0312,0.0436,22.6,148.0,1,
146,SUP-00147,Robinson-Brock,India,zippers,0.9125,0.0292,0.0,,81.0,0,
528,SUP-00529,"Daniels, Vance and York",Indonesai,thread,0.9751,0.006,0.0115,13.4,227.0,0,
774,SUP-00775,Ward and Sons,Bangla Desh,zippers,0.8879,0.0578,0.0163,15.5,161.0,1,
331,SUP-00332,"Turner, Ortiz and Taylor",Bangladesh,zippers,0.9091,,0.0677,20.3,152.0,1,
727,SUP-00728,"Arnold, Smith and Moreno",china,dye_chemicals,90.5%,0.0103,0.0342,20.7,50.0,1,
56,SUP-00057,"Washington, Ryan and Cummings",China,TRIMS,0.9178,0.0239,0.0,10.5,119.0,0,urgent
